run_id,ts,location,spark_master,driver_memory,executor_memory,num_cores,delay_threshold_min,lags,window_hours,sample_month,dataset_id,data_start,data_end,n_joined,n_train,n_test,n_train_pos,n_train_neg,n_test_pos,n_test_neg,rf_max_rows_per_class_limit,rf_effective_rows_per_class,train_wall_time_sec,train_driver_cpu_time_sec,rf_num_trees,rf_max_depth,rf_subsampling_rate,rf_feature_subset_strategy,train_accuracy,train_f1,train_precision_pos,train_recall_pos,test_accuracy,test_f1,test_precision_pos,test_recall_pos,test_specificity,test_tn,test_fp,test_fn,test_tp,git_commit,git_dirty,comment
222dd56d-00d1-4b5f-bdce-c09142bbb6c7,2025-11-29T02:12:14.218+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230288,76840,115326,114962,38238,38602,400000,153564,1638.372416763,495.713695399,100,15,0.7,sqrt,0.6605337664142291,0.66045369628508,0.6565109322997852,0.6756325546711063,0.6581337844872462,0.6580579136233484,0.6512039212713813,0.6740415293686909,0.6423760426920885,24797,13805,12464,25774,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
e7e0ab99-6ad9-4d9a-90f1-7ca676d1eaa9,2025-11-29T02:40:34.354+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230288,76840,115326,114962,38238,38602,400000,153564,1289.136960213,463.811830534,100,15,0.7,sqrt,0.6584146807475856,0.6583626043692414,0.6553609112404973,0.6705166224442016,0.6589536699635606,0.6589310277529787,0.653972153972154,0.6682357863905016,0.6497590798404228,25082,13520,12686,25552,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
da973fb1-2783-489d-8e4f-aa53c9935f48,2025-11-29T02:42:32.208+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230288,76840,115326,114962,38238,38602,400000,153564,1167.297066122,474.928501574,100,15,0.7,sqrt,0.6575331758493712,0.6573554369729929,0.6514220213967705,0.6800374590291868,0.6561166059344091,0.6559800065538952,0.6478154246534208,0.6770228568439772,0.635407491839801,24528,14074,12350,25888,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
b74baea7-d621-416a-9d57-48c382a3ea0d,2025-11-29T02:59:42.945+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230288,76840,115326,114962,38238,38602,400000,153564,1101.41540395,481.126381039,100,15,0.7,sqrt,0.6552707913569096,0.6552514829663405,0.6537471016538754,0.6625392365988589,0.6525897969807392,0.6525711939817269,0.6479454512829714,0.6610439876562582,0.6442153256307963,24868,13734,12961,25277,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
38fe2563-4c99-4f03-b5e5-3871fb8a9e81,2025-11-29T03:12:40.138+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230288,76840,115326,114962,38238,38602,400000,153564,1877.273824878,491.461768295,100,15,0.7,sqrt,0.6656534426457306,0.6654891974083887,0.6593762993762994,0.6875292648665522,0.6637948984903695,0.6636669138774092,0.6553218131730528,0.6843192635598097,0.6434640692192114,24839,13763,12071,26167,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
a7c1b2e3-bfc6-4192-83bd-1e67dd0fd2ce,2025-11-29T03:27:50.085+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230288,76840,115326,114962,38238,38602,400000,153564,2670.098833295,457.700492198,100,15,0.7,sqrt,0.6617539776280136,0.661620225589183,0.6563236055660424,0.6813641329795536,0.6610619469026549,0.6609601333462787,0.6533296449049392,0.6794026884251269,0.642894150562147,24817,13785,12259,25979,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
15461d2b-f8c6-452a-948b-0a45e0f3e67b,2025-11-30T15:45:21.143+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230320,76808,115358,114962,38206,38602,400000,153564,284.285012955,24.900606435,80,12,0.7,sqrt,0.6736714136853074,0.6735306804500056,0.6675670718489987,0.6941174430902062,0.6727814810957192,0.6726522443660525,0.6636456951155396,0.6938177249646652,0.6519610382881716,25167,13435,11698,26508,,false,"dataset=D2, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
ed19b6f9-902d-46f7-ae4f-b5fd6b4c28e2,2025-11-30T16:12:26.072+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230320,76808,115358,114962,38206,38602,400000,153564,1415.392126851,605.148582212,200,18,0.8,sqrt,0.6706886071552622,0.6706363104417785,0.6759939777819352,0.6577870628825049,0.6675736902406,0.6675105216447408,0.6697564765451282,0.6543474846882689,0.680664214289415,26275,12327,13206,25000,,false,"dataset=D2, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
a55d9dd9-5a2f-4491-80e8-4a7fc21a77f3,2025-11-30T20:13:28.299+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D2,2012-01-01,2014-12-31,17943069,230320,76808,115358,114962,38206,38602,400000,153564,1029.861986335,169.690888486,150,16,0.7,sqrt,0.6622438346648142,0.6615882025074933,0.6788516473052751,0.6180152221779157,0.6614024580772836,0.6607432955028005,0.6742067232170907,0.617861068942051,0.7044971763121082,27195,11407,14600,23606,,false,"dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
13a25b92-01a9-497d-87be-e6b04238d160,2025-11-30T20:28:21.456+01:00,cluster,yarn,4g,9g,4,60,7,12,ALL,D4,2012-01-01,2014-12-31,17943069,599084,200916,299677,299407,100323,100593,400000,400000,346.722202982,22.983165097,80,12,0.7,sqrt,0.6202519179280368,0.6193388907158477,0.6097293254115458,0.6691504519866389,0.6190796153616437,0.6181854831893581,0.607957742643989,0.6677033182819493,0.5705864225144891,57397,43196,33337,66986,,false,"dataset=D4, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=400000"
