run_id,ts,location,spark_master,driver_memory,executor_memory,num_cores,delay_threshold_min,lags,window_hours,sample_month,dataset_id,data_start,data_end,n_joined,n_train,n_test,n_train_pos,n_train_neg,n_test_pos,n_test_neg,rf_max_rows_per_class_limit,rf_effective_rows_per_class,train_wall_time_sec,train_driver_cpu_time_sec,rf_num_trees,rf_max_depth,rf_subsampling_rate,rf_feature_subset_strategy,train_accuracy,train_f1,train_precision_pos,train_recall_pos,test_accuracy,test_f1,test_precision_pos,test_recall_pos,test_specificity,test_tn,test_fp,test_fn,test_tp,git_commit,git_dirty,comment
2359c305-233f-4c06-85d2-8a9c39777fa1,2025-12-03T08:10:29.079+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D4,2012-01-01,2013-12-01,3841678,334047,111871,166994,167053,55965,55906,1000000,222959,832.126932958,147.6005462,150,16,0.7,sqrt,0.715384362080785,0.7151447435623445,0.7285537229478501,0.6864138831335258,0.6821517640854198,0.6818943517279303,0.6934202794153888,0.6536227999642634,0.7107108360462204,39733,16173,19385,36580,,false,"local D4 with-weather lags=7 ALL months | dataset=D4, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
1842e5c9-d8cc-47e9-9311-63c5f379497a,2025-12-03T03:03:40.548+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D3,2012-01-01,2013-12-01,3841678,189302,63414,94778,94524,31580,31834,1000000,126358,623.390583592,149.7764678,150,16,0.7,sqrt,0.7602983592355073,0.7602606681363622,0.7676918742007499,0.7474097364367258,0.7321411675655218,0.7321024330445727,0.7358893127303291,0.7208359721342622,0.7433561600804172,23664,8170,8816,22764,,false,"local 60 minutes D3 with-weather lags=7 ALL months | dataset=D3, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
02cf5fdf-760d-445d-afd4-27789406671c,2025-12-03T02:52:10.485+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54980,18406,27495,27485,9198,9208,1000000,36693,345.7359289,154.6423722,150,16,0.7,sqrt,0.835740269188796,0.8357000705478129,0.8256437389770723,0.8513184215311875,0.8189720743235901,0.8189617629374848,0.8139584671376578,0.8267014568384431,0.8112510860121633,7470,1738,1594,7604,,false,"local 60 minutes D2 with-weather lags=7 ALL months | dataset=D2, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
21a5fe8d-769f-4421-bc0e-f6e0b346d7fb,2025-12-03T02:45:30.365+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D1,2012-01-01,2013-12-01,3841678,4252,1420,2133,2119,703,717,1000000,2836,215.096711193,140.7695656,150,16,0.7,sqrt,0.793038570084666,0.7930307857513085,0.7984754645069081,0.7857477730895452,0.7654929577464789,0.7654200246754952,0.751358695652174,0.786628733997155,0.7447698744769874,534,183,150,553,,false,"local 60 minutes D1 with-weather lags=7 ALL months | dataset=D1, featureSet=with-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
9221a195-1caa-4f4c-bcf0-b0604b3c9abe,2025-12-03T02:40:33.450+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D4,2012-01-01,2013-12-01,3841678,334047,111871,166994,167053,55965,55906,1000000,222959,1975.126255586,336.6829176,200,18,0.8,sqrt,0.7408658063086931,0.7405534596029891,0.7587320581858421,0.7062050133537732,0.6785672783831377,0.6782248668492443,0.6913131622231572,0.6458679531850263,0.7113011125818338,39766,16140,19819,36146,,false,"local 60 minutes D4 article-weather lags=7 ALL months | dataset=D4, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
19e26a77-b67b-4e27-8949-21c1a69f9c33,2025-12-03T01:58:29.559+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D3,2012-01-01,2013-12-01,3841678,189302,63414,94778,94524,31580,31834,1000000,126358,1327.72700631,316.4291277,200,18,0.8,sqrt,0.779674805337503,0.7795928308772546,0.7915998153805578,0.760028698643145,0.7320150124578169,0.7319390482457631,0.7380843562287803,0.7159278024065865,0.7479738644216875,23811,8023,8971,22609,,false,"local D3 article-weather lags=7 | dataset=D3, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
df9a9b8a-0e30-4a6f-8a1d-86a861dceae7,2025-12-03T00:57:46.978+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D2,2012-01-01,2013-12-01,3841678,54980,18406,27495,27485,9198,9208,1000000,36693,662.075963652,286.9029049,200,18,0.8,sqrt,0.8420880320116406,0.8420608719375003,0.8334337669703307,0.8551372976904892,0.8137563837878953,0.8137435276819446,0.8083582727661394,0.8222439660795825,0.805278019113814,7415,1793,1635,7563,,false,"local D2 article-weather lags=7 | dataset=D2, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
76ee6232-f1ff-4809-9c69-045b22e24474,2025-12-03T00:34:34.533+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D1,2012-01-01,2013-12-01,3841678,4252,1420,2133,2119,703,717,1000000,2836,398.877772376,277.6178132,200,18,0.8,sqrt,0.8125587958607714,0.8125582671125176,0.8156899810964083,0.8091889357712142,0.7697183098591549,0.7695758375883825,0.7520107238605898,0.7980085348506402,0.7419804741980475,532,185,142,561,,false,"local D1 article-weather lags=7 | dataset=D1, featureSet=article-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
10fb1e04-1f2d-4299-9964-08468374d7fa,2025-12-03T00:18:17.481+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D1,2012-01-01,2013-12-01,3841678,4252,1420,2133,2119,703,717,1000000,2836,22.495269907,7.5396412,80,12,0.7,sqrt,0.6427563499529633,0.6427566068276932,0.644811320754717,0.6408813877168308,0.6359154929577465,0.6358520928979293,0.6347826086956522,0.6230440967283073,0.6485355648535565,465,252,265,438,,false,"local D1 no-weather lags=7 | dataset=D1, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
b327c233-67b7-442e-9e26-1421bde03cee,2025-12-03T00:14:25.429+01:00,local,local[8],24g,24g,16,60,7,12,ALL,D4,2012-01-01,2013-12-01,3841678,334047,111871,166994,167053,55965,55906,1000000,222959,90.123227199,8.9247799,80,12,0.7,sqrt,0.6337671046289893,0.6333334922778591,0.6250763258286605,0.6681856833179636,0.629242609791635,0.6287564293568477,0.6207655374766604,0.6653444116858751,0.5931027081171967,33158,22748,18729,37236,,false,"local D4 no-weather lags=7 | dataset=D4, featureSet=no-weather, lags=7, windowHours=12, maxRowsPerClass=1000000"
